chat;tipe
Bisa pakai akun email UIR untuk akses Microsoft 365 gratis di https://office.com;safe
Assalamualaikum pak/buk, untuk semester pendek apakah ada rencana dibuka tahun ini?;safe
Informasi mengenai semester pendek akan diumumkan setelah UAS semester genap selesai;safe
Assalamualaikum, tugas mata kuliah Basis Data yang dikumpul hari ini format file nya apa ya? PDF atau Word?;safe
Assalamualaikum pak, saya izin tidak hadir hari ini karena sakit. Surat keterangan dokter akan saya serahkan minggu depan 🙏;safe
Selamat siang, kelas Jaringan Komputer hari ini jam 13.00 di Lab Jarkom lantai 2;safe
Assalamualaikum, bagi yang butuh referensi buku Struktur Data bisa pinjam di perpustakaan lantai 3;safe
Assalamualaikum pak/buk, nilai mata kuliah semester lalu kapan ya bisa dilihat di SIAK?;safe
Nilai sudah diinput, silakan cek di SIAK masing-masing. Jika ada kendala hubungi bagian akademik;safe
Ada yang mau bareng ke kampus besok pagi? Kelas jam 8 di gedung FT;safe
Assalamualaikum pak, izin kirim softcopy laporan KP via email ya pak karena saya sedang di luar kota;safe
Assalamualaikum, mau tanya apakah ada grup WA khusus untuk mata kuliah Machine Learning?;safe
Grup WA Machine Learning: https://chat.whatsapp.com/abc123XYZ. Silakan join;safe
Assalamualaikum pak, untuk bimbingan skripsi apakah bisa dilakukan secara online via Zoom?;safe
Boleh, silakan buat jadwal dulu via chat kemudian saya kirimkan link Zoom nya;safe
Selamat malam teman-teman, ada yang bisa bantu jelaskan tentang ERD untuk tugas Basis Data?;safe
Assalamualaikum, izin share modul kuliah Pemrograman Web yang dikasih dosen tadi: https://drive.google.com/file/d/abc123;safe
Assalamualaikum 🙏 PERHATIAN mahasiswa TI UIR! Akun SIAK kamu terdeteksi aktivitas mencurigakan. Segera verifikasi untuk menghindari pemblokiran akun ➡️ https://siak-uir.verification-secure.tk/login;phising
URGENT! Beasiswa penuh S2 Luar Negeri khusus mahasiswa TI UIR. Kuota terbatas tinggal 5 slot! Daftar sekarang sebelum ditutup besok ➡️ https://beasiswa-s2-dikti.web.id/daftar;phising
Halo teman-teman TI UIR 👋 Saya dari admin Telegram resmi, akun grup ini akan segera dimigrasi. Klik link berikut untuk tetap terhubung: https://t.me-verify.com/joinchat/UIR-TI-2026;phising
INFO PENTING❗ Pembayaran UKT semester genap bisa dapat DISKON 50%! Promo terbatas sampai besok. Klaim diskon nya disini: https://ukt-diskon-uir.rf.gd/pembayaran;phising
🎓 Selamat! Kamu terpilih mendapat laptop gratis dari program digitalisasi kampus UIR. Klaim hadiah kamu segera: https://program-digitalisasi-kampus.netlify.app/klaim;phising
Assalamualaikum, INFO dari Rektorat: Seluruh mahasiswa WAJIB update data diri melalui link berikut sebelum 17 Februari atau KRS akan diblokir ➡️ https://update-data-mahasiswa-uir.web.app;phising
Teman-teman ada lowongan magang di Google Indonesia khusus mahasiswa TI! Bayaran 15jt/bulan, cuma perlu isi form ini: https://bit.ly/magang-google-id-2026;phising
⚠️ DARURAT! Password SIAK kamu bocor di internet. Segera ganti password melalui link aman ini: https://siak-uir-password-reset.herokuapp.com;phising
Selamat kamu mendapat hadiah dari Shopee & UIR senilai Rp2.500.000! Tukarkan kode: UIR2026GIFT di https://shopee-uir-gift.tk/redeem;phising
📢 Pengumuman Rektor: Mulai semester depan semua ujian akan online. Download aplikasi ujian resmi disini sebelum ditutup: https://uir-exam-app.gq/download.apk;phising
Halo kak mahasiswa TI UIR! Admin Telegram disini 🙋 Untuk keamanan grup, semua anggota harus verifikasi ulang. Klik: https://telegram-verify-group.ml/uir-ti;phising
INFO BEASISWA 🎓 Kemendikbud bersama UIR memberikan beasiswa Rp5.000.000 untuk 100 mahasiswa berprestasi. Form pendaftaran: https://beasiswa-kemendikbud-uir.web.id/apply;phising
Assalamualaikum, saya dari IT Support UIR. Sistem email kampus sedang maintenance. Silakan backup email kamu melalui: https://mail-uir-backup.000webhostapp.com;phising
PERHATIAN! Bagi yang belum bayar UKT, akun SIAK akan DIBLOKIR PERMANEN hari ini. Bayar online sekarang: https://pembayaran-ukt-uir.rf.gd;phising
Lomba coding nasional berhadiah total 100jt! Khusus mahasiswa aktif. Pendaftaran GRATIS, tinggal klik: https://lomba-coding-nasional.tk/register;phising
Halo adik-adik TI UIR 🤗 Kakak alumni dapat info lowongan kerja dari Tokopedia. Gaji 20jt/bulan, langsung klik: https://karir-tokopedia.ga/apply-now;phising
📱 Telegram Premium GRATIS 1 tahun untuk mahasiswa! Program kerjasama UIR x Telegram. Aktifkan: https://telegram-premium-edu.ml/activate;phising
Assalamualaikum wr wb, harap perhatian! Foto ijazah dan transkrip kamu bisa didownload orang lain. Amankan data kamu di: https://secure-data-mahasiswa.tk/protect;phising
BANTUAN DANA PENDIDIKAN Rp3.000.000 dari Kemendikbud untuk mahasiswa semester akhir. Daftar sekarang: https://bantuan-pendidikan-2026.web.id/daftar;phising
Yth mahasiswa TI UIR, akun Google Classroom kamu akan segera expired. Perpanjang akses gratis: https://classroom-extend.gq/google-uir;phising
Info dari HMJ TI: Ada program laptop cicilan 0% khusus mahasiswa UIR. Cek katalog: https://laptop-mahasiswa-murah.rf.gd;phising
🚨 Akun Telegram kamu terdeteksi login dari perangkat asing! Amankan akun segera: https://telegram-secure-login.tk/verify;phising
Assalamualaikum teman2, ada program sertifikasi Microsoft GRATIS buat mahasiswa TI! Tinggal isi data: https://microsoft-cert-free.ml/register-mahasiswa;phising
Mahasiswa TI UIR bisa dapat kuota internet 50GB GRATIS dari Kemendikbud. Aktivasi: https://kuota-belajar-2026.web.id/klaim;phising
PENTING❗Dana KIP-Kuliah sudah cair! Cek status pencairan kamu disini: https://kip-kuliah-cair.rf.gd/status;phising
Teman-teman, ini link resmi perpanjangan akun SIAK yang baru. Wajib diakses sebelum 18 Feb: https://perpanjang-siak.netlify.app;phising
Hai mahasiswa TI 🖐️ Ada survei berhadiah iPhone 16 dari kampus. Isi survei 2 menit aja: https://survei-berhadiah-uir.ga/isi;phising
Assalamualaikum, ada undangan webinar dari Prodi TI tapi daftarnya lewat link ini ya: https://webinar-prodi-ti.000webhostapp.com/daftar;phising
Ada tawaran part-time sebagai asisten dosen online bayaran 500rb/hari. Yang minat langsung isi: https://asisten-dosen-online.tk/daftar;phising
Darurat! Server kampus diretas, semua mahasiswa harus reset password SIAK sekarang: https://emergency-reset-siak.rf.gd;phising
INFO❗ Mulai besok WiFi kampus pakai login baru. Daftar akun WiFi baru disini: https://wifi-kampus-uir-baru.ml/register;phising
Halo semuanya, saya mau share link kuliah online tapi entah ini link zoom yang benar atau bukan: https://zoom.us.meeting-id.tk/j/9876543210;suspicious
Assalamualaikum, ada yang tau ini link dari dosen atau bukan ya? Saya dapat forward-an: https://bit.ly/TugasKelompok-TI-UIR-2026;suspicious
Teman2, tadi ada yang share link ini di grup angkatan katanya untuk isi absensi online: https://forms.gle/aBcDeFgHiJkLmNoP tapi saya ragu soalnya biasanya absen di SIAK;suspicious
Assalamualaikum pak/buk, ini link Google Form untuk survey tugas akhir saya. Mohon bantuannya 🙏 https://docs.google.com/forms/d/e/1FAIpQLSc-random123;suspicious
Ada info dari teman bahwa pendaftaran MSIB batch 2 diperpanjang, ini linknya: https://kampusmerdeka.kemdikbud.go.id.registration-extend.com/daftar;suspicious
Halo kawan2, ada tawaran freelance dari alumni katanya. Proyeknya web development, bayarannya lumayan. Yang minat hubungi WA: 081234567890;suspicious
Info dari kakak tingkat, katanya ada program magang di startup lokal Pekanbaru. Info lengkap: https://bit.ly/magang-pekanbaru-2026;suspicious
Assalamualaikum, maaf forward dari grup lain. Katanya ada beasiswa LPDP khusus mahasiswa Riau: https://lpdp-beasiswa-riau.blogspot.com/2026/daftar;suspicious
Teman-teman, saya baru dapat email katanya dari UIR, minta verifikasi data mahasiswa. Ada yang dapat juga? Link nya: https://forms.office.com/r/aBcDeFgHi;suspicious
Ini link absensi yang dikasih dosen tadi, tapi kok domainnya aneh ya: https://uir-absensi.wixsite.com/pertemuan-5;suspicious
Assalamualaikum, ada yang tertarik ikut workshop cybersecurity? Ini link pendaftarannya tapi saya gak kenal penyelenggaranya: https://bit.ly/workshop-cyber-2026;suspicious
Ada lowongan jadi admin sosmed untuk UKM kampus, katanya dibayar. Info: https://t.me/lowongan_ukm_uir tapi grup nya baru dibuat kemarin;suspicious
Teman2, nilai UAS kita bisa dicek di link ini kata teman saya: https://cek-nilai-uas-uir.blogspot.com tapi biasanya kan di SIAK;suspicious
Assalamualaikum pak, ini beneran dari bapak? Saya dapat pesan suruh klik link ini untuk revisi tugas: https://bit.ly/3xYz789;suspicious
Halo teman-teman, ada yang pernah pakai platform ini untuk belajar coding? https://koding-gratis-indonesia.web.id lumayan sih tapi minta data diri lengkap;suspicious
Info: Katanya sistem SIAK lagi down, sementara bisa akses nilai lewat link alternatif ini: https://siak-mirror-uir.vercel.app;suspicious
Assalamualaikum, mau share info kerja part-time yang bisa dikerjain dari rumah. Detailnya di: https://bit.ly/kerja-online-mahasiswa 💰 gak tau valid atau tidak sih;suspicious
Ada yang kenal akun ini? Tiba-tiba invite saya ke grup katanya grup tugas Pemweb: https://t.me/joinchat/randomString123;suspicious
Teman-teman izin share, ada program konversi SKS dari kursus online ini: https://kursus-konversi-sks.com/uir Apakah beneran bisa?;suspicious
Assalamualaikum, barusan dapat forward katanya UKT bisa dicicil lewat platform fintech ini: https://cicilan-ukt-easy.co.id 🤔 ada yang tau?;suspicious
Mahasiswa TI UIR, ada survei dari penelitian kakak tingkat. Mohon partisipasinya: https://surveyheart.com/form/abcdef123 agak panjang sih form nya;suspicious
Assalamualaikum, saya share repo tugas besar Algoritma untuk referensi teman-teman. Mohon jangan dicopy paste ya 😄 https://github.com/student123/algo-uir;safe
Teman-teman jangan lupa besok deadline pengumpulan tugas Basis Data jam 23.59. Yang belum submit segera ya!;safe
Assalamualaikum pak, izin mengirimkan file revisi skripsi bab 3 via Google Drive ya pak: https://drive.google.com/file/d/1abcXYZ/view;safe
Untuk mahasiswa bimbingan skripsi saya, jadwal bimbingan minggu depan saya ganti ke hari Kamis jam 09.00;safe
Ada yang punya contoh format laporan KP yang sudah di-ACC? Boleh share template nya dong 🙏;safe
Assalamualaikum bpk/ibu, terkait jadwal remedial UAS mata kuliah Algoritma, kapan akan dilaksanakan?;safe
Saya share slide presentasi mata kuliah Kecerdasan Buatan pertemuan hari ini: https://docs.google.com/presentation/d/1abcXYZ;safe
Assalamualaikum, ada info kapan pendaftaran Yudisium periode April 2026 dibuka?;safe
Untuk tugas kelompok Rekayasa Perangkat Lunak, silakan bagi kelompok masing-masing 4-5 orang dan lapor ke saya sebelum Jumat;safe
Teman-teman yang ikut kelas Pemrograman Mobile, jangan lupa install Android Studio sebelum pertemuan praktikum besok;safe
Assalamualaikum pak/buk, apakah masih bisa mengajukan perpindahan kelas untuk mata kuliah Jaringan?;safe
Wa'alaikumsalam, perpindahan kelas masih bisa diajukan sebelum pertemuan ke-4. Silakan ke bagian akademik;safe
Assalamualaikum, saya mau tanya apakah ada rekomendasi laptop untuk mahasiswa TI dengan budget 8 jutaan?;safe
Untuk budget segitu bisa ambil Acer Aspire atau Lenovo IdeaPad, yang penting RAM 8GB dan SSD;safe
Teman-teman, link Google Meet untuk presentasi UAS kelompok kita: https://meet.google.com/abc-defg-hij;safe
Assalamualaikum pak, saya mau konsultasi judul skripsi terkait machine learning. Kapan bisa ketemu?;safe
Informasi dari Dekan: Wisuda periode Maret 2026 akan dilaksanakan tanggal 22 Maret di Auditorium UIR;safe
Assalamualaikum, mau nanya dong cara connect database MySQL ke project Java kita gimana ya? 😅;safe
Teman-teman, jangan lupa isi KRS sebelum tanggal 16 Februari ya. Login di https://siak.uir.ac.id;safe
Assalamualaikum pak, apakah ada penambahan kuota kelas untuk MK Cloud Computing? Kelasnya sudah penuh;safe
Wa'alaikumsalam, saya akan koordinasi dengan Kaprodi untuk pembukaan kelas paralel. Mohon ditunggu info selanjutnya;safe
SEGERA DAFTAR! Sertifikasi BNSP gratis untuk seluruh mahasiswa Indonesia! Kuota sangat terbatas, klaim sekarang: https://sertifikasi-bnsp-free.tk/daftar-sekarang;phising
Assalamualaikum teman-teman TI UIR! Dapat info dari admin, mulai besok absensi kuliah pakai sistem baru. Wajib daftar ulang: https://absensi-baru-uir.ml/register;phising
⚡ FLASH SALE khusus mahasiswa UIR! Laptop Lenovo cuma 2jt, stok terbatas. Pesan sekarang: https://flash-sale-laptop-mahasiswa.rf.gd;phising
Hai kak, skripsi butuh respondent? Saya bisa bantu carikan 100 responden GRATIS. Tinggal share data kamu di: https://jasa-responden-gratis.ga/isi-data;phising
Info penting dari BEM: Semua mahasiswa wajib daftar ulang organisasi kemahasiswaan. Isi data: https://bem-uir-daftar-ulang.netlify.app;phising
Assalamualaikum, saya dapet forward dari grup alumni katanya ada program beasiswa dari perusahaan Jepang. Tapi link nya agak aneh menurut saya: https://japanese-scholarship.tk/apply;suspicious
Teman2 ada yang tau ini legit atau bukan? Link pendaftaran volunteer event kampus: https://bit.ly/volunteer-uir-event tapi yang share bukan admin;suspicious
Halo, baru dapat info katanya dosen Pak Rizki ganti link channel Telegram. Yang baru ini: https://t.me/+newChannelXYZ123 ada yang bisa konfirmasi?;suspicious
Assalamualaikum, ada penawaran kursus Python bersertifikat cuma 50rb, biasanya 500rb. Link: https://kursus-python-murah.co.id/promo legitimasi kursusnya gimana ya?;suspicious
Saya share info PKM Kemendikbud, tapi link nya bukan dari website resmi. Ini aman gak ya? https://info-pkm-2026.blogspot.com/pendaftaran;suspicious
Assalamualaikum pak, saya sudah submit tugas di Google Classroom. Mohon di-review ya pak 🙏;safe
Teman2 yang mau ikut UKM Robotika, pendaftaran anggota baru dibuka sampai akhir Februari. Hubungi bang Adi di 08127654321;safe
Info dari perpustakaan: Buku-buku referensi mata kuliah semester genap sudah tersedia. Bisa dipinjam mulai hari Senin;safe
Assalamualaikum pak/buk, untuk sidang skripsi bulan Maret apakah masih bisa mendaftar?;safe
Pendaftaran sidang skripsi periode Maret masih dibuka sampai tanggal 28 Februari. Pastikan semua persyaratan sudah lengkap;safe
Assalamualaikum, ada yang bisa jelasin perbedaan antara REST API dan GraphQL? Bingung untuk tugas akhir 😅;safe
Teman-teman yang ikut mata kuliah Pemrograman Web, tugas minggu ini bikin landing page pakai HTML CSS. Kumpul di Google Classroom;safe
Assalamualaikum, link Google Classroom mata kuliah Sistem Informasi Manajemen apa ya? Saya belum join;safe
Ini link Classroom SIM: https://classroom.google.com/c/abc123XYZ. Silakan gabung;safe
Assalamualaikum pak/buk, izin bertanya untuk syarat mengambil mata kuliah skripsi apa saja ya?;safe
Syarat mengambil skripsi: sudah lulus minimal 110 SKS, lulus MK Metodologi Penelitian, dan IPK minimal 2.50;safe
💰 PENGHASILAN SAMPINGAN! Jadi agen pulsa dan dapatkan komisi jutaan rupiah perbulan! Daftar: https://agen-pulsa-mahasiswa.tk/gabung-sekarang;phising
Teman-teman TI UIR, ada program tukar poin absensi jadi saldo e-wallet! Cek disini: https://tukar-poin-absensi.rf.gd;phising
Assalamualaikum, dari Kemendikbud ada bantuan laptop untuk mahasiswa kurang mampu. Daftar: https://bantuan-laptop-kemendikbud-2026.web.id;phising
KHUSUS mahasiswa TI UIR! Dapat akses premium Coursera, Udemy, LinkedIn Learning GRATIS selamanya: https://akses-premium-mahasiswa.ml/activate;phising
📢 Pengumuman: Mulai semester depan SIAK UIR pindah ke domain baru, silakan daftar akun baru di: https://siak-baru-uir.rf.gd/register;phising
Assalamualaikum, mau nanya dong teman2. Ini tugas yang mana ya yang dimaksud dosen tadi?;safe
Siang teman-teman, ada yang tau password WiFi kampus yang baru? Kemarin diganti kan;safe
Yang mau bareng ke perpustakaan UIR sore ini kabarin ya, mau cari buku referensi Jarkom;safe
Assalamualaikum pak, mohon maaf pak saya telat submit tugas karena kendala internet. Apakah masih bisa diterima?;safe
Wa'alaikumsalam, silakan submit sekarang. Saya masih buka deadline sampai malam ini jam 23.59;safe
Teman-teman ada yang mau buat kelompok belajar untuk persiapan UTS? Kita bisa diskusi di perpus;safe
Assalamualaikum pak, untuk penggantian dosen wali bagaimana caranya ya pak?;safe
Dijual laptop bekas ASUS ROG, masih bagus, harga 6jt nego. Yang minat DM ya;safe
Assalamualaikum, dosen Ibu Sarah hari ini masuk kelas atau tidak ya? Ada yang tau?;safe
Info: Dosen Pak Ahmad tidak bisa hadir hari ini karena ada kegiatan di luar kota. Kelas ditiadakan;safe
Assalamualaikum pak, apakah ada rekomendasi topik skripsi yang berkaitan dengan NLP atau computer vision?;safe
Untuk topik NLP bisa explore sentiment analysis bahasa Indonesia, chatbot, atau text summarization. Silakan diskusi lebih lanjut di jam bimbingan;safe
PEMBERITAHUAN‼️ Seluruh mahasiswa TI UIR WAJIB install aplikasi keamanan kampus baru ini atau akun SIAK diblokir: https://apps-keamanan-kampus.gq/download;phising
Halo teman2, saya forward dari grup sebelah. Ada program Kemendikbud kasih bantuan kuota 100GB per bulan: https://kuota-kemendikbud-gratis.tk/klaim;phising
🔔 Admin grup: Telegram akan menghapus grup ini dalam 24 jam. Pindah ke grup backup: https://t.me.group-backup.ml/UIR-TI;phising
Assalamualaikum, saya admin baru grup TI UIR. Untuk verifikasi keanggotaan, isi form ini ya: https://verifikasi-anggota-ti-uir.web.app;phising
PROMO AWAL SEMESTER! Jasa cetak skripsi/KP termurah, cuma 5rb per eksemplar. Order: https://cetak-skripsi-murah.rf.gd;suspicious
Assalamualaikum, ada yang pernah pakai jasa les privat coding ini? Review nya gimana? https://les-coding-private.com/pekanbaru;suspicious
Teman2, ini link resmi pendaftaran MSIB Kemendikbud atau bukan? https://kampusmerdeka.kemdikbud.go.id soalnya saya takut salah link;safe
Assalamualaikum, bagi yang butuh sertifikat TOEFL untuk syarat wisuda bisa ikut tes di UPT Bahasa UIR. Pendaftaran offline di gedung rektorat;safe
Selamat siang, untuk mahasiswa yang mengajukan transkrip sementara bisa diambil di bagian akademik mulai besok;safe
Assalamualaikum, izin share informasi webinar nasional tentang AI in Education dari IEEE: https://ieee.org/event/ai-education-2026;safe
Malam teman-teman, slide mata kuliah Data Mining pertemuan 3 sudah saya upload di Classroom yaa;safe
Ada yang tau cara menjalankan Docker di Windows? Tugas Cloud Computing butuh Docker soalnya 😅;safe
Install Docker Desktop dari https://docker.com/products/docker-desktop lalu aktifkan WSL2;safe
Assalamualaikum pak, file jurnal referensi yang bapak rekomendasikan kemarin judulnya apa ya? Saya lupa catat 🙏;safe
Teman2, jadwal piket lab Jaringan Komputer minggu ini sudah ditempel di papan pengumuman. Tolong cek ya;safe
Assalamualaikum, infoin dong kalau ada info loker magang untuk anak semester 6-7 di Pekanbaru 🙏;safe
Info magang: PT RAPP Pekanbaru buka rekrutmen magang IT. Daftar via website resmi https://rfrapp.force.com/Careers;safe
