chat;tipe
"PESAN RESMI !!!
SELAMAT ANDA
TERPILIH SEBAGAI
PEMENANG HADIAH
KE-2 dr SHOPEE 2019 
Code ID;25f4777 
U/info klik;
www.big-shopee37.blogspot.com";phising
"LAZADA ID
Markatplace No 1
Ucapkan SELAMAT
Anda Trdaftar Pemenang
LAZADA 11.11 Hadiah
JUTAWAN Rp.125Jta
ID:MP47AD7
Info
bit.ly/lazada-win11";phising
"SELAMAT..
Anda resmi
men-dpatkan
HADIAH KE-2
Rp.175 juta.
Dri LAZADA2019
ID;02498123
U/info hadiah klick;
bit.ly/call-centerlazada29";phising
"PT.SHOPEE
MENGUCAPKAN
SLAMAT!!!
NO anda resmi
m-dptkn hadiah
Ke-2 cek tunai
Rp.175jt
dri pt.shopee
PIN:B8337H9
U/info klik:
www.shopeetbk29.blogspot.com";phising
Anda mendapat 700.000 TUNAI, silakan klik tautan untuk mendapatkannya: http://isat.ekontan.com/01/14bskn0y WA CS:085777640327;phising
"SIM C4RD ANDA
M-dptkan
1unit mobil T0Y0TA INN0VA
dr myPERT4MIN4
Pin Pemenang Anda: 789fr77
Klik link: bit.ly/undianmypertamina";phising
"sLMt!No whatsapp
Anda Men-dptkn
Rp.175.000.000
PIN:D33C879
cek di:
bit.ly/info-resmi314";phising
"sLMt!No whatsapp
Anda Men-dptkn
Rp.175.000.000
PIN:D33C879
cek di:
bit.ly/info-resmi314";phising
"Anda M-dptkan
125,000.000.00
ID Anda (AAQ2099)
cek ID Anda
bit.ly/promoshopee567";phising
"PESAN RESMI !!!
anda pemenan
Rp150.000.000
Dari SHOPEE SALE
PIN ID:IJ4T547
Cocokan PIN anda di
bit.ly/mensaleshopee22coid";phising
"Anda Pemenang KE-2
Rp.150.000.000,00
SHOPEE REJEKI
awal tahun 2020
TOKEN ID (B8337H9
Silahkan buka link di bawah:
s.id/rejekianksholeh
Cek HADIAH anda";phising
"Anda Pemenang
SHOPEE NEW YEAR
Rp. 150.000.000,-
PIN (iJ4T547)
Info Klik Link :
s.id/pt-shopeeawalthn";phising
"Slmt No. Anda Mendapatkan
Hadiah Rp.100jt Dari
PT. WHATSAPP
ID: UF77957
INFO Klik Link URL di bawah ini:
bit.ly/wa-2019";phising
"SIMcard Anda Mendapatkan Penghargaan Ke.5 Dari ERA JAYA Kode pin (479kl278) U/info klik:
https://bit.ly/info-erajaya29";phising
"SHOPEE 9.9
Slmt
No.Anda Resmi
Mendaptkan Hadiah
Ke-2 Cek Tunai
Rp.185jt Code ID
Pemenang;(AD25MD47)
U/Info Hadiah
Klik.
bit.ly/info-shoppingday99";phising
"Selamat anda.
Terdaftar di
BPJS INDONESIA
Sebagai Penerima 
dana Bantuan.
Rp.175juta
U/info klik:
bit.ly/dana-bpjs21-indonesia

Masukkan PIN di Locked:
57DL77";phising
"selamatAnda M-dpatkan
C3K Rp.189.000.000
dari.PERTAMINA
CODE ID;(717747)
info lanjut;
WA;0822-5016-9377
Atau klik;
bit.ly/pertamina377";phising
"PT.WhatsApp
Slmt.
Men-dptkan hadiah
Ke-2 cek tunai
Rp.175jt KODE
ID PEMENANG:[WHA012]
U/info hadiah
Klik.
bit.ly/infohadiah-wa747";phising
HADIAH KHUSUS UNTUK PENGGUNA TELEGRAM AKTIF 1)VOUCHER GRATIS UNTUK DI SEMUA OPERATOR 2) BEBAS KOUTA UNTUK AKSES DI SEMUA FITUR TELEGRAM SELAMA 3 BULAN HADIAH DI RESMI KAN DARI TELEGRAM DALAM RANGKA MENINGKATKAN PENGGUNA TELEGRAM CARA AMBIL HADIAH NYA SILAKAN LANGSUNG ISI LINK DI BAWAH👇 https://is.gd/gratispulsa500ktelegrampromo;phising
